text,label
"Congratulations! You have won a free iPhone. Click here to claim.",1
"Dear user, your account statement is ready to view.",0
"Win cash prizes now! Limited offer just for you.",1
"Meeting tomorrow at 10 AM in the conference room.",0
"Subscribe to our newsletter and get a bonus gift!",1
"Can you send me the report by EOD?",0
"Urgent! Your account has been compromised. Verify now.",1
"Lunch at 1 PM today?",0
"Claim your free reward by clicking the link below.",1
"Don't forget to submit your assignment.",0
